Experiment_type,code,tree_quality,species,quality,Nitrogen_added,mix_type,species_richness,number,litter_type_quality_tree_1,litter_type_quality_tree_2,quality_N,mesh_size,total_mass_g,sample_plot,plot,harvest,handling_loss_bags,handling_loss,initial_mass_g,Time_at_harvest,final_mass_g
A2,A2ML,Medium,"Dt,Pt",medium_N5,N_5,tree mixture,2,7,4,4,5.005,0.07 mm,13.005,R7,plot2,harvest3,NA,-0.435,12.57,220,6.2
A2,A2ML,Medium,"Dt,Pt",medium_N5,N_5,tree mixture,2,8,4,4,5.005,0.07 mm,13.005,R8,plot2,harvest4,NA,-0.435,12.57,365,4.007
A2,A2ML,Medium,"Dt,Pt",medium_N5,N_5,tree mixture,2,9,4.009,4,5.008,0.07 mm,13.017,R9,plot3,harvest1,NA,-0.435,12.582,30,7.326
A2,A2ML,Medium,"Dt,Pt",medium_N5,N_5,tree mixture,2,10,3.995,4.001,4.009,0.07 mm,12.005,R10,plot3,harvest2,NA,-0.435,11.57,60,6.819
A2,A2ML,Medium,"Dt,Pt",medium_N5,N_5,tree mixture,2,11,4,4.006,5.001,0.07 mm,13.007,R11,plot3,harvest3,NA,-0.435,12.572,220,8.61
A2,A2ML,Medium,"Dt,Pt",medium_N5,N_5,tree mixture,2,12,3.993,3.998,5,0.07 mm,12.991,R12,plot3,harvest4,NA,-0.435,12.556,365,4.596
A2,A2ML,Medium,"Dt,Pt",medium_N5,N_5,tree mixture,2,13,4.009,3.994,5.003,0.07 mm,13.006,,,,11.385,-0.435,12.571,,NA
A2,A2ML,Medium,"Dt,Pt",medium_N5,N_5,tree mixture,2,14,3.994,4,5.007,0.07 mm,13.001,,,,13.464,-0.435,12.566,,NA
A2,A2ML,Medium,"Dt,Pt",medium_N5,N_5,tree mixture,2,15,4,3.997,5.001,0.07 mm,12.998,,,,12.852,-0.435,12.563,,NA
A1,A1FT(L),Low,"Cb,Ga",low_N0,N_0,tree mixture,2,1,5,5,NA,5 mm,10,R1,plot1,harvest1,NA,0,10,30,8.558
A1,A1FT(L),Low,"Cb,Ga",low_N0,N_0,tree mixture,2,2,5,5,NA,5 mm,10,R2,plot1,harvest2,NA,0,10,60,8.827
A1,A1FT(L),Low,"Cb,Ga",low_N0,N_0,tree mixture,2,3,5,5,NA,5 mm,10,R3,plot1,harvest3,NA,0,10,220,4.93
A1,A1FT(L),Low,"Cb,Ga",low_N0,N_0,tree mixture,2,4,5,5,NA,5 mm,10,R4,plot1,harvest4,NA,0,10,365,3.554
A1,A1FT(L),Low,"Cb,Ga",low_N0,N_0,tree mixture,2,5,5,5,NA,5 mm,10,R5,plot2,harvest1,NA,0,10,30,5.95
A1,A1FT(L),Low,"Cb,Ga",low_N0,N_0,tree mixture,2,6,5,5,NA,5 mm,10,R6,plot2,harvest2,NA,0,10,60,5.657
A1,A1FT(L),Low,"Cb,Ga",low_N0,N_0,tree mixture,2,7,5,5,NA,5 mm,10,R7,plot2,harvest3,NA,0,10,220,2.89
A1,A1FT(L),Low,"Cb,Ga",low_N0,N_0,tree mixture,2,8,5,5,NA,5 mm,10,R8,plot2,harvest4,NA,0,10,365,4.09
A1,A1FT(L),Low,"Cb,Ga",low_N0,N_0,tree mixture,2,9,5,5,NA,5 mm,10,R9,plot3,harvest1,NA,0,10,30,8.885
